"vehicle_id","year","make","model","description","body_style","drivetrain","mileage.value","mileage.unit","URL","title","price","state_of_vehicle","exterior_color","address.addr1","address.city","address.region","address.country","latitude","longitude","sale_price","fueltype","yardname","image[0].url","custom_label_0","custom_label_1"
"95141","2025","Ford","Everest","2025 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 10spd ON SALE","SUV","4WD","17000","KM","https://www.avoncityford.com/vehicles/stock/130712/1002/ford-everest-new-gen-sport-4wd-2-0-bi-turbo-10spd-on-sale","2025 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 10spd ON SALE","74990 NZD","USED","Blue Lightning","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","66995 NZD","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=92421976&w=500&h=375&l=true","SALE",""
"95183","2025","Ford","Everest","2025 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 7str","SUV","4WD","14000","KM","https://www.avoncityford.com/vehicles/stock/130713/1002/ford-everest-new-gen-sport-4wd-2-0-bi-turbo-7str","2025 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 7str","65995 NZD","USED","Aluminium Silver","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=92799663&w=500&h=375&l=true","",""
"95218","2025","Ford","Mustang","2025 Ford Mustang GT Fastback 5.0L V8 10spd ON SALE","Coupe","2WD","10345","KM","https://www.avoncityford.com/vehicles/stock/141547/1002/ford-mustang-gt-fastback-5-0l-v8-10spd-on-sale","2025 Ford Mustang GT Fastback 5.0L V8 10spd ON SALE","84990 NZD","USED","Carbonised Grey","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","79990 NZD","Petrol","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=93104641&w=500&h=375&l=true","SALE",""
"95305","2025","Mahindra","XUV700","2025 Mahindra XUV700 AX7L 2.0 litre 6 spd Auto 7 Seater ON SALE","SUV","2WD","10458","KM","https://www.avoncityford.com/vehicles/stock/142526/1002/mahindra-xuv700-ax7l-2-0-litre-6-spd-auto-7-seater-on-sale","2025 Mahindra XUV700 AX7L 2.0 litre 6 spd Auto 7 Seater ON SALE","41990 NZD","USED","BLUE","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","34990 NZD","Petrol","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=93666494&w=500&h=375&l=true","SALE",""
"95285","2025","Ford","Ranger","2025 Ford Ranger New Gen Sport 4WD 2.0 Bi-Turbo 10spd SALE","Other","4WD","15476","KM","https://www.avoncityford.com/vehicles/stock/142415/1002/ford-ranger-new-gen-sport-4wd-2-0-bi-turbo-10spd-sale","2025 Ford Ranger New Gen Sport 4WD 2.0 Bi-Turbo 10spd SALE","61990 NZD","USED","WHITE","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","56990 NZD","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=93631243&w=500&h=375&l=true","SALE",""
"95264","2025","Mahindra","XUV700","2025 Mahindra XUV700 AX7L 2.0 litre 6spd Auto 7 Seater ON SALE","SUV","2WD","12634","KM","https://www.avoncityford.com/vehicles/stock/143445/1002/mahindra-xuv700-ax7l-2-0-litre-6spd-auto-7-seater-on-sale","2025 Mahindra XUV700 AX7L 2.0 litre 6spd Auto 7 Seater ON SALE","39990 NZD","USED","Platinum White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","34990 NZD","Petrol","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=94198720&w=500&h=375&l=true","SALE",""
"95362","2025","Ford","Ranger","2025 Ford Ranger New Gen Wildtrak 4WD V6 10-Year Edition ON SALE","Other","4WD","53288","KM","https://www.avoncityford.com/vehicles/stock/144440/1002/ford-ranger-new-gen-wildtrak-4wd-v6-10-year-edition-on-sale","2025 Ford Ranger New Gen Wildtrak 4WD V6 10-Year Edition ON SALE","69990 NZD","USED","Arctic White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","68790 NZD","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=94866044&w=500&h=375&l=true","SALE",""
"95410","2025","Ford","Ranger","2025 Ford Ranger New Gen Sport 4WD 2.0 Bi Turbo 10spd SALE","Other","4WD","25715","KM","https://www.avoncityford.com/vehicles/stock/148318/1002/ford-ranger-new-gen-sport-4wd-2-0-bi-turbo-10spd-sale","2025 Ford Ranger New Gen Sport 4WD 2.0 Bi Turbo 10spd SALE","58990 NZD","USED","Blue Lightning","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","56990 NZD","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=94929701&w=500&h=375&l=true","SALE",""
"95605","2026","Ford","Everest","2026 Ford Everest New Gen Platinum 4WD 3.0TD V6 7-Seater","SUV","4WD","17157","KM","https://www.avoncityford.com/vehicles/stock/147947/1002/ford-everest-new-gen-platinum-4wd-3-0td-v6-7-seater","2026 Ford Everest New Gen Platinum 4WD 3.0TD V6 7-Seater","82990 NZD","USED","Equinox Bronze","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=94931435&w=500&h=375&l=true","",""
"95400","2021","Ford","Everest","2021 Ford Everest Sport 4WD 2.0L Bi-Turbo 7-Seater ON SALE","SUV","4WD","80891","KM","https://www.avoncityford.com/vehicles/stock/148316/1002/ford-everest-sport-4wd-2-0l-bi-turbo-7-seater-on-sale","2021 Ford Everest Sport 4WD 2.0L Bi-Turbo 7-Seater ON SALE","45990 NZD","USED","Deep Crystal Blue","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","43990 NZD","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=94960191&w=500&h=375&l=true","SALE",""
"95415","2025","Ford","Ranger","2025 Ford Ranger New Gen Sport 4WD 2.0 Bi Turbo 10spd","Other","4WD","25662","KM","https://www.avoncityford.com/vehicles/stock/144800/1002/ford-ranger-new-gen-sport-4wd-2-0-bi-turbo-10spd","2025 Ford Ranger New Gen Sport 4WD 2.0 Bi Turbo 10spd","57990 NZD","USED","Arctic White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","56990 NZD","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=95117568&w=500&h=375&l=true","SALE",""
"QFB273","2023","Ford","Ranger","2023 Ford Ranger New Gen Wildtrak 4WD 3.0TD V6 ON SALE","Other","4WD","64416","KM","https://www.avoncityford.com/vehicles/stock/148319/1002/ford-ranger-new-gen-wildtrak-4wd-3-0td-v6-on-sale","2023 Ford Ranger New Gen Wildtrak 4WD 3.0TD V6 ON SALE","61990 NZD","USED","Arctic White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","59990 NZD","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=95253406&w=500&h=375&l=true","SALE",""
"95486","2026","Ford","Everest","2026 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 7 Str 10spd","SUV","4WD","15901","KM","https://www.avoncityford.com/vehicles/stock/146107/1002/ford-everest-new-gen-sport-4wd-2-0-bi-turbo-7-str-10spd","2026 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 7 Str 10spd","69990 NZD","USED","Shadow Black","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=95995943&w=500&h=375&l=true","",""
"95489","2026","Ford","Everest","2026 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 7 Seater","SUV","4WD","13459","KM","https://www.avoncityford.com/vehicles/stock/146108/1002/ford-everest-new-gen-sport-4wd-2-0-bi-turbo-7-seater","2026 Ford Everest New Gen Sport 4WD 2.0 Bi Turbo 7 Seater","69990 NZD","USED","Meteor Grey","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Diesel","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=95989100&w=500&h=375&l=true","",""
"95498","2025","Ford","Ranger","2025 Ford Ranger New Gen Stormtrak PHEV 4WD 2.3L Hybrid","Other","4WD","11715","KM","https://www.avoncityford.com/vehicles/stock/146340/1002/ford-ranger-new-gen-stormtrak-phev-4wd-2-3l-hybrid","2025 Ford Ranger New Gen Stormtrak PHEV 4WD 2.3L Hybrid","71990 NZD","USED","Chill Grey","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Plugin Petrol Hybrid","Used Cars","https://dataapi.autoplay.co.nz/image.ashx?id=96175551&w=500&h=375&l=true","",""
